row,id,pit,day,date,month,season,lat,lon,temp,RH,sex,behavior,habitat
623,70,7059,Thurs,2020-07-31,July,Wet,26.16515,81.79714,26.3,89.1,F,H,FW
237,7,4326,Tue,2020-02-18,February,Dry,26.16456,81.79722,29.1,67.1,F,H,PM
297,7,4326,Tue,2020-03-10,March,Dry,26.16457,81.79726,32.2,43.3,F,H,FW/PM
973,70,7059,Mon,2020-11-30,November,Dry,26.16468,81.79726,27.5,85,F,H,PM
16,1,1430,Sun,2019-11-24,November,Dry,26.16478,81.79727,24,93.1,F,H,ORS
20,20,2814,Sun,2019-11-24,November,Dry,26.16478,81.79727,24.4,,M,W,ORS
923,70,7059,Thurs,2020-11-12,November,Dry,26.16484,81.79727,31,63.7,F,H,FW
287,7,4326,Fri,2020-03-06,March,Dry,26.16457,81.79728,24.6,61.8,F,H,FW
227,7,4326,Fri,2020-02-14,February,Dry,26.16457,81.79729,28.3,71.3,F,R,FW/PM
513,70,7059,Tues,2020-06-23,June,Wet,26.16496,81.79729,28,77.9,F,H,PM
277,7,4326,Tue,2020-03-03,March,Dry,26.16457,81.7973,27.9,64.3,F,W,PM/FW
829,1,1430,Monday,2020-10-12,October,Wet,26.16466,81.7973,27.4,94.1,F,B,PM
837,20,2814,Monday,2020-10-12,October,Wet,26.16466,81.7973,27.4,94.1,M,B,PM
949,1,1430,Mon,2020-11-23,November,Dry,26.16477,81.7973,26,90.3,F,R,PM
257,7,4326,Tue,2020-02-25,February,Dry,26.16458,81.79731,28.5,64.3,F,H,PM
260,13,6779,Tue,2020-02-25,February,Dry,26.16471,81.79731,27.6,64.1,M,H,PM
174,1,1430,Fri,2020-01-24,January,Dry,26.16486,81.79731,26.6,59.5,F,H,FW
184,1,1430,Tue,2020-01-28,January,Dry,26.16486,81.79731,20.1,67.9,F,H,FW
8,7,4326,Sun,2019-11-17,November,Dry,26.16512,81.79731,,,F,H,FWL with ORS
1012,7,4326,Mon,2020-12-14,December,Dry,26.1647,81.79732,26.8,72.1,F,W,FW
164,1,1430,Tue,2020-01-21,January,Dry,26.16485,81.79732,12.4,64.2,F,H,FW
539,1,1430,Thurs,2020-07-02,July,Wet,26.16504,81.79732,26.8,91.1,F,R,FW
553,70,7059,Tues,2020-07-07,July,Wet,26.16504,81.79732,31.6,75.9,F,W,FW
112,20,2814,Tue,2019-12-31,December,Dry,26.16494,81.79733,25.7,53.6,M,W,ORS in PM
443,70,7059,Sun,2020-05-31,May,Wet,26.16505,81.79733,32.8,68,F,H,FW
228,70,7059,Fri,2020-02-14,February,Dry,26.16511,81.79733,34.4,63.2,F,H,FW
892,7,4326,Mon,2020-11-02,November,Dry,26.16523,81.79733,24.8,62.2,F,H,FW
247,7,4326,Sat,2020-02-22,February,Dry,26.16455,81.79734,15.2,68.8,F,H,FW/PM
118,70,7059,Fri,2020-01-03,January,Dry,26.16508,81.79734,29.7,60.2,F,H,FW/ORS
989,1,1430,Mon,2020-12-07,December,Dry,26.16489,81.79735,19,90.3,F,R,PM
78,70,7059,Fri,2019-12-20,December,Dry,26.16498,81.79735,26.6,56.6,F,H,ORS/PM/PFW Boarder 
1015,13,6779,Mon,2020-12-14,December,Dry,26.16501,81.79735,25.3,85,M,H,FW
882,7,4326,Thurs,2020-10-29,October,Dry,26.16507,81.79735,31.7,67.7,F,W,FW
487,20,2814,Fri,2020-06-12,June,Wet,26.16518,81.79735,25.8,82.5,M,W,FW
617,20,2814,Mon,2020-07-27,July,Wet,26.16522,81.79735,27.7,80.9,M,R,FW
952,7,4326,Mon,2020-11-23,November,Dry,26.16488,81.79736,25.9,87.2,F,H,FW
34,13,6779,Tue,2019-12-03,December,Dry,26.16524,81.79736,14.5,61.4,M,H,ORS/PFW
499,1,1430,Fri,2020-06-19,June,Wet,26.16524,81.79736,26.7,83.7,F,H,FW
647,20,2814,Wed,2020-08-05,August,Wet,26.16524,81.79736,33.1,59.1,M,H,FW
877,20,2814,Mon,2020-10-26,October,Dry,26.16526,81.79736,26.4,81.2,M,H,FW
833,70,7059,Monday,2020-10-12,October,Wet,26.16535,81.79736,27,95.3,F,H,PFW
98,70,7059,Fri,2019-12-27,December,Dry,26.16485,81.79737,27.2,61,F,R,PM
932,7,4326,Mon,2020-11-16,November,Dry,26.16495,81.79737,30.9,67.4,F,W,FW
942,7,4326,Thurs,2020-11-19,November,Dry,26.16499,81.79737,27.5,61.3,F,H,FW
